# Production of Ra-224 
# E_in [eV]   sigma[barns]
1.000000e+06  0.000000e+00
1.500000e+06  0.000000e+00
2.000000e+06  0.000000e+00
2.500000e+06  0.000000e+00
3.000000e+06  0.000000e+00
3.500000e+06  0.000000e+00
4.000000e+06  0.000000e+00
4.500000e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.500000e+06  0.000000e+00
6.000000e+06  0.000000e+00
6.500000e+06  0.000000e+00
7.000000e+06  0.000000e+00
7.500000e+06  0.000000e+00
8.000000e+06  0.000000e+00
8.500000e+06  0.000000e+00
9.000000e+06  0.000000e+00
9.500000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.050000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.150000e+07  0.000000e+00
1.150000e+07  6.843028e-03
1.200000e+07  1.212326e-01
1.250000e+07  2.447471e-01
1.300000e+07  3.441530e-01
1.350000e+07  4.234468e-01
1.400000e+07  4.601021e-01
1.450000e+07  4.453987e-01
1.500000e+07  3.966404e-01
1.550000e+07  3.378818e-01
1.600000e+07  2.838742e-01
1.650000e+07  2.386848e-01
1.700000e+07  2.024076e-01
1.750000e+07  1.734254e-01
1.800000e+07  1.503839e-01
1.850000e+07  1.299774e-01
1.900000e+07  1.076051e-01
1.950000e+07  8.553028e-02
2.000000e+07  6.498546e-02
2.100000e+07  3.536491e-02
2.200000e+07  1.960253e-02
2.300000e+07  1.240510e-02
2.400000e+07  8.693861e-03
2.500000e+07  6.569344e-03
2.600000e+07  5.276320e-03
2.700000e+07  4.350390e-03
2.800000e+07  3.646791e-03
2.900000e+07  3.139931e-03
3.000000e+07  2.720096e-03
3.200000e+07  2.258525e-03
3.400000e+07  1.838037e-03
3.600000e+07  1.529979e-03
3.800000e+07  1.323258e-03
4.000000e+07  1.167768e-03
4.200000e+07  1.042540e-03
4.400000e+07  9.477073e-04
4.600000e+07  8.916769e-04
4.800000e+07  8.126868e-04
5.000000e+07  7.650573e-04
5.200000e+07  7.383171e-04
5.400000e+07  6.886725e-04
5.600000e+07  6.455066e-04
5.800000e+07  6.304404e-04
6.000000e+07  6.122602e-04
6.200000e+07  5.904249e-04
6.400000e+07  5.622004e-04
6.600000e+07  5.243207e-04
6.800000e+07  5.128222e-04
7.000000e+07  4.863093e-04
7.200000e+07  4.779629e-04
7.400000e+07  4.701202e-04
7.600000e+07  4.464017e-04
7.800000e+07  4.201514e-04
8.000000e+07  4.129855e-04
8.500000e+07  3.596584e-04
9.000000e+07  3.308933e-04
9.500000e+07  3.099539e-04
1.000000e+08  2.655810e-04
1.100000e+08  2.333862e-04
1.200000e+08  1.928443e-04
1.300000e+08  1.460505e-04
1.400000e+08  1.265445e-04
1.500000e+08  9.705158e-05
1.600000e+08  8.466260e-05
1.700000e+08  6.674272e-05
1.800000e+08  6.141356e-05
1.900000e+08  5.063587e-05
2.000000e+08  4.585261e-05
