# Production of Ra-225 
# E_in [eV]   sigma[barns]
1.000000e+06  0.000000e+00
1.500000e+06  0.000000e+00
2.000000e+06  0.000000e+00
2.500000e+06  0.000000e+00
3.000000e+06  0.000000e+00
3.500000e+06  0.000000e+00
4.000000e+06  0.000000e+00
4.500000e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.500000e+06  0.000000e+00
6.000000e+06  0.000000e+00
6.500000e+06  0.000000e+00
6.500000e+06  1.171676e-02
7.000000e+06  1.675565e-02
7.500000e+06  2.216247e-02
8.000000e+06  2.973168e-02
8.500000e+06  4.067137e-02
9.000000e+06  5.669779e-02
9.500000e+06  8.032669e-02
1.000000e+07  1.152340e-01
1.050000e+07  1.666919e-01
1.100000e+07  2.395223e-01
1.150000e+07  3.196457e-01
1.200000e+07  2.778714e-01
1.250000e+07  1.993992e-01
1.300000e+07  1.389230e-01
1.350000e+07  9.810361e-02
1.400000e+07  7.533759e-02
1.450000e+07  6.071276e-02
1.500000e+07  4.789680e-02
1.550000e+07  3.643697e-02
1.600000e+07  2.683444e-02
1.650000e+07  1.983318e-02
1.700000e+07  1.487727e-02
1.750000e+07  1.157191e-02
1.800000e+07  9.210176e-03
1.850000e+07  7.493307e-03
1.900000e+07  6.235744e-03
1.950000e+07  5.268858e-03
2.000000e+07  4.498090e-03
2.100000e+07  3.384941e-03
2.200000e+07  2.637466e-03
2.300000e+07  2.095891e-03
2.400000e+07  1.706694e-03
2.500000e+07  1.388976e-03
2.600000e+07  1.150015e-03
2.700000e+07  9.689266e-04
2.800000e+07  8.277661e-04
2.900000e+07  7.028073e-04
3.000000e+07  6.119484e-04
3.200000e+07  4.792984e-04
3.400000e+07  3.785201e-04
3.600000e+07  3.113289e-04
3.800000e+07  2.582304e-04
4.000000e+07  2.250538e-04
4.200000e+07  1.954669e-04
4.400000e+07  1.733353e-04
4.600000e+07  1.554556e-04
4.800000e+07  1.430533e-04
5.000000e+07  1.302861e-04
5.200000e+07  1.184020e-04
5.400000e+07  1.108527e-04
5.600000e+07  1.037877e-04
5.800000e+07  9.519280e-05
6.000000e+07  8.887691e-05
6.200000e+07  8.349576e-05
6.400000e+07  7.869739e-05
6.600000e+07  7.292937e-05
6.800000e+07  6.931401e-05
7.000000e+07  6.605794e-05
7.200000e+07  6.189683e-05
7.400000e+07  5.807665e-05
7.600000e+07  5.394927e-05
7.800000e+07  5.163867e-05
8.000000e+07  4.906037e-05
8.500000e+07  4.289529e-05
9.000000e+07  3.599228e-05
9.500000e+07  3.151359e-05
1.000000e+08  2.769630e-05
1.100000e+08  2.048761e-05
1.200000e+08  1.614244e-05
1.300000e+08  1.294383e-05
1.400000e+08  1.018603e-05
1.500000e+08  7.578324e-06
1.600000e+08  5.849342e-06
1.700000e+08  4.926559e-06
1.800000e+08  3.490380e-06
1.900000e+08  3.172851e-06
2.000000e+08  2.303619e-06
