# (n,g)     reaction
# E_in [eV]   sigma[barns]
1.000000e-05  5.843109e+02
1.050000e-05  5.702301e+02
1.100000e-05  5.571207e+02
1.155000e-05  5.436952e+02
1.210000e-05  5.311959e+02
1.270500e-05  5.183952e+02
1.331000e-05  5.064776e+02
1.397550e-05  4.942728e+02
1.464100e-05  4.829098e+02
1.537305e-05  4.712730e+02
1.610510e-05  4.604389e+02
1.691036e-05  4.493437e+02
1.771561e-05  4.390139e+02
1.860139e-05  4.284351e+02
1.948717e-05  4.185861e+02
2.046153e-05  4.084996e+02
2.143589e-05  3.991090e+02
2.250768e-05  3.894921e+02
2.357948e-05  3.805385e+02
2.475845e-05  3.713692e+02
2.593742e-05  3.628324e+02
2.723430e-05  3.540898e+02
2.853117e-05  3.459504e+02
2.995773e-05  3.376148e+02
3.138428e-05  3.298542e+02
3.295350e-05  3.219066e+02
3.452271e-05  3.145073e+02
3.624885e-05  3.069297e+02
3.797498e-05  2.998748e+02
3.987373e-05  2.926498e+02
4.177248e-05  2.859234e+02
4.386111e-05  2.790348e+02
4.594973e-05  2.726214e+02
4.824722e-05  2.660535e+02
5.054470e-05  2.599387e+02
5.307194e-05  2.536766e+02
5.559917e-05  2.478465e+02
5.837913e-05  2.418758e+02
6.115909e-05  2.363172e+02
6.421704e-05  2.306245e+02
6.727500e-05  2.253246e+02
7.063875e-05  2.198971e+02
7.400250e-05  2.148439e+02
7.770262e-05  2.096691e+02
8.140275e-05  2.048512e+02
8.547289e-05  1.999173e+02
8.954302e-05  1.953238e+02
9.402018e-05  1.906197e+02
9.849733e-05  1.862401e+02
1.034222e-04  1.817550e+02
1.083471e-04  1.775794e+02
1.137644e-04  1.733032e+02
1.191818e-04  1.693221e+02
1.251409e-04  1.652450e+02
1.310999e-04  1.614493e+02
1.376549e-04  1.575622e+02
1.442099e-04  1.539433e+02
1.514204e-04  1.502373e+02
1.586309e-04  1.467870e+02
1.665625e-04  1.432536e+02
1.744940e-04  1.399641e+02
1.832187e-04  1.365953e+02
1.919434e-04  1.334591e+02
2.015406e-04  1.302473e+02
2.111378e-04  1.272572e+02
2.216947e-04  1.241952e+02
2.322515e-04  1.213444e+02
2.438641e-04  1.184251e+02
2.554767e-04  1.157073e+02
2.682505e-04  1.129240e+02
2.810244e-04  1.103329e+02
2.950756e-04  1.076795e+02
3.091268e-04  1.052092e+02
3.245831e-04  1.026795e+02
3.400395e-04  1.003245e+02
3.570415e-04  9.791278e+01
3.740434e-04  9.566760e+01
3.927456e-04  9.336844e+01
4.114478e-04  9.122804e+01
4.320202e-04  8.903619e+01
4.525926e-04  8.699570e+01
4.752222e-04  8.490618e+01
4.978518e-04  8.296097e+01
5.227444e-04  8.096904e+01
5.476370e-04  7.911468e+01
5.750188e-04  7.721581e+01
6.024007e-04  7.544811e+01
6.325207e-04  7.363798e+01
6.626408e-04  7.195291e+01
6.957728e-04  7.022742e+01
7.289048e-04  6.862116e+01
7.653501e-04  6.697639e+01
8.017953e-04  6.544528e+01
8.418851e-04  6.387749e+01
8.819749e-04  6.241807e+01
9.260736e-04  6.092370e+01
9.701723e-04  5.953264e+01
1.018681e-03  5.810830e+01
1.067190e-03  5.678245e+01
1.120549e-03  5.542490e+01
1.173909e-03  5.416125e+01
1.232604e-03  5.286741e+01
1.291299e-03  5.166308e+01
1.355864e-03  5.043001e+01
1.420429e-03  4.928228e+01
1.491451e-03  4.810719e+01
1.562472e-03  4.701345e+01
1.640596e-03  4.589365e+01
1.718719e-03  4.485142e+01
1.804655e-03  4.378439e+01
1.890591e-03  4.279129e+01
1.985121e-03  4.177460e+01
2.079651e-03  4.082839e+01
2.183633e-03  3.985974e+01
2.287616e-03  3.895826e+01
2.401996e-03  3.803545e+01
2.516377e-03  3.717667e+01
2.642196e-03  3.629759e+01
2.768015e-03  3.547956e+01
2.906416e-03  3.464223e+01
3.044816e-03  3.386309e+01
3.197057e-03  3.306562e+01
3.349298e-03  3.232360e+01
3.516763e-03  3.156417e+01
3.684228e-03  3.085760e+01
3.868439e-03  3.013450e+01
4.052651e-03  2.946177e+01
4.255283e-03  2.877335e+01
4.457916e-03  2.813295e+01
4.680811e-03  2.747767e+01
4.903707e-03  2.686814e+01
5.148893e-03  2.624451e+01
5.394078e-03  2.566448e+01
5.663782e-03  2.507110e+01
5.933486e-03  2.451926e+01
6.230160e-03  2.395479e+01
6.526834e-03  2.342990e+01
6.853176e-03  2.289307e+01
7.179518e-03  2.239395e+01
7.538494e-03  2.188355e+01
7.897470e-03  2.140909e+01
8.292343e-03  2.092398e+01
8.687216e-03  2.047312e+01
9.121577e-03  2.001222e+01
9.555938e-03  1.958394e+01
1.003374e-02  1.914624e+01
