,xg,yg,zg,Bx,By,Bz
0,-1.0,-1.0,-1.0,-0.15489398417642175,-0.15489398417642175,0.39387942267512893
1,-1.0,-1.0,-0.8,-0.2702870095889866,-0.2702870095889866,0.49521919825550553
2,-1.0,-1.0,-0.6,-0.4133696403834697,-0.4133696403834697,0.5307469998184275
3,-1.0,-1.0,-0.3999999999999999,-0.5571348625813297,-0.5571348625813297,0.45542952679222104
4,-1.0,-1.0,-0.19999999999999996,-0.6645758928332723,-0.6645758928332723,0.2640235512124485
5,-1.0,-1.0,0.0,-0.7044044843878722,-0.7044044843878722,0.0
6,-1.0,-1.0,0.20000000000000018,-0.6645758928332723,-0.6645758928332723,-0.2640235512124489
7,-1.0,-1.0,0.40000000000000013,-0.5571348625813296,-0.5571348625813296,-0.45542952679222115
8,-1.0,-1.0,0.6000000000000001,-0.41336964038346957,-0.41336964038346957,-0.5307469998184275
9,-1.0,-1.0,0.8,-0.2702870095889866,-0.2702870095889866,-0.49521919825550553
10,-1.0,-1.0,1.0,-0.15489398417642175,-0.15489398417642175,-0.39387942267512893
11,-1.0,-0.8,-1.0,-0.1287119399502899,-0.17288180646074355,0.3019982600459287
12,-1.0,-0.8,-0.8,-0.21730372266780398,-0.27431494082629176,0.3722184651445062
13,-1.0,-0.8,-0.6,-0.3261630151760502,-0.39637202614324885,0.3935923100583644
14,-1.0,-0.8,-0.3999999999999999,-0.4349689510928714,-0.516863841435608,0.33498849251403207
15,-1.0,-0.8,-0.19999999999999996,-0.5160557440070974,-0.6060572543600707,0.1933880603681465
16,-1.0,-0.8,0.0,-0.5460788999570916,-0.6389869060633493,0.0
17,-1.0,-0.8,0.20000000000000018,-0.5160557440070974,-0.6060572543600706,-0.1933880603681468
18,-1.0,-0.8,0.40000000000000013,-0.43496895109287126,-0.5168638414356079,-0.33498849251403223
19,-1.0,-0.8,0.6000000000000001,-0.3261630151760502,-0.39637202614324873,-0.39359231005836437
20,-1.0,-0.8,0.8,-0.21730372266780398,-0.27431494082629176,-0.3722184651445062
21,-1.0,-0.8,1.0,-0.1287119399502899,-0.17288180646074355,-0.3019982600459287
22,-1.0,-0.6,-1.0,-0.09933206065138969,-0.18687233490410493,0.21885394947951137
23,-1.0,-0.6,-0.8,-0.16360435908221158,-0.2774477762330847,0.2651889943401056
24,-1.0,-0.6,-0.6,-0.24197818805578106,-0.38315165951196595,0.27710781349588626
25,-1.0,-0.6,-0.3999999999999999,-0.3199623322525413,-0.48554193610004676,0.2341175441823396
26,-1.0,-0.6,-0.19999999999999996,-0.3779389086872695,-0.5605427577698027,0.13463975659171937
27,-1.0,-0.6,0.0,-0.3993831072284485,-0.5881065673664982,0.0
28,-1.0,-0.6,0.20000000000000018,-0.3779389086872694,-0.5605427577698027,-0.13463975659171956
29,-1.0,-0.6,0.40000000000000013,-0.31996233225254117,-0.48554193610004664,-0.23411754418233963
30,-1.0,-0.6,0.6000000000000001,-0.24197818805578097,-0.3831516595119659,-0.27710781349588626
31,-1.0,-0.6,0.8,-0.16360435908221158,-0.2774477762330847,-0.2651889943401056
32,-1.0,-0.6,1.0,-0.09933206065138969,-0.18687233490410493,-0.21885394947951137
33,-1.0,-0.3999999999999999,-1.0,-0.06755380504791325,-0.19686556950650594,0.14226227796018132
34,-1.0,-0.3999999999999999,-0.8,-0.10936793799831179,-0.27968551580936535,0.17013797026565422
35,-1.0,-0.3999999999999999,-0.6,-0.16005970950087467,-0.37370854048962104,0.176125961831597
36,-1.0,-0.3999999999999999,-0.3999999999999999,-0.21032518289830734,-0.4631691465746458,0.14792416031051947
37,-1.0,-0.3999999999999999,-0.19999999999999996,-0.2476245584972017,-0.5280324030624683,0.08480684311619835
38,-1.0,-0.3999999999999999,0.0,-0.26140965827640833,-0.5517634682973188,0.0
39,-1.0,-0.3999999999999999,0.20000000000000018,-0.2476245584972017,-0.5280324030624683,-0.08480684311619849
40,-1.0,-0.3999999999999999,0.40000000000000013,-0.21032518289830732,-0.4631691465746457,-0.14792416031051953
41,-1.0,-0.3999999999999999,0.6000000000000001,-0.16005970950087467,-0.373708540489621,-0.176125961831597
42,-1.0,-0.3999999999999999,0.8,-0.10936793799831179,-0.27968551580936535,-0.17013797026565422
43,-1.0,-0.3999999999999999,1.0,-0.06755380504791325,-0.19686556950650594,-0.14226227796018132
44,-1.0,-0.19999999999999996,-1.0,-0.03417663190805266,-0.20286151026794652,0.07003903247224279
45,-1.0,-0.19999999999999996,-0.8,-0.05477347858220712,-0.28102815955513377,0.08307257734450224
46,-1.0,-0.19999999999999996,-0.6,-0.07965212998954355,-0.36804266907621414,0.08547920676610037
47,-1.0,-0.19999999999999996,-0.3999999999999999,-0.10426767986813763,-0.44974547285940525,0.07151581941194768
48,-1.0,-0.19999999999999996,-0.19999999999999996,-0.12251186506030748,-0.5085261902380679,0.04091752317461482
49,-1.0,-0.19999999999999996,0.0,-0.129251105175437,-0.5299576088558112,0.0
50,-1.0,-0.19999999999999996,0.20000000000000018,-0.12251186506030746,-0.5085261902380678,-0.04091752317461488
51,-1.0,-0.19999999999999996,0.40000000000000013,-0.1042676798681376,-0.44974547285940514,-0.0715158194119477
52,-1.0,-0.19999999999999996,0.6000000000000001,-0.07965212998954352,-0.368042669076214,-0.08547920676610037
53,-1.0,-0.19999999999999996,0.8,-0.05477347858220712,-0.28102815955513377,-0.08307257734450224
54,-1.0,-0.19999999999999996,1.0,-0.03417663190805266,-0.20286151026794652,-0.07003903247224279
55,-1.0,0.0,-1.0,0.0,-0.20486015718842673,-0.0
56,-1.0,0.0,-0.8,0.0,-0.2814757074703899,-0.0
57,-1.0,0.0,-0.6,0.0,-0.3661540452717451,-0.0
58,-1.0,0.0,-0.3999999999999999,0.0,-0.445270914954325,-0.0
59,-1.0,0.0,-0.19999999999999996,0.0,-0.502024119296601,-0.0
60,-1.0,0.0,0.0,0.0,-0.5226889890419754,-0.0
61,-1.0,0.0,0.20000000000000018,0.0,-0.502024119296601,0.0
62,-1.0,0.0,0.40000000000000013,0.0,-0.44527091495432497,0.0
63,-1.0,0.0,0.6000000000000001,0.0,-0.36615404527174505,0.0
64,-1.0,0.0,0.8,0.0,-0.2814757074703899,0.0
65,-1.0,0.0,1.0,0.0,-0.20486015718842673,0.0
66,-1.0,0.20000000000000018,-1.0,0.0341766319080527,-0.20286151026794652,-0.07003903247224286
67,-1.0,0.20000000000000018,-0.8,0.054773478582207186,-0.28102815955513377,-0.08307257734450234
68,-1.0,0.20000000000000018,-0.6,0.07965212998954363,-0.36804266907621414,-0.08547920676610046
69,-1.0,0.20000000000000018,-0.3999999999999999,0.10426767986813774,-0.44974547285940525,-0.07151581941194776
70,-1.0,0.20000000000000018,-0.19999999999999996,0.12251186506030762,-0.5085261902380679,-0.04091752317461486
71,-1.0,0.20000000000000018,0.0,0.12925110517543714,-0.5299576088558112,-0.0
72,-1.0,0.20000000000000018,0.20000000000000018,0.1225118650603076,-0.5085261902380678,0.040917523174614924
73,-1.0,0.20000000000000018,0.40000000000000013,0.10426767986813772,-0.44974547285940514,0.07151581941194779
74,-1.0,0.20000000000000018,0.6000000000000001,0.07965212998954362,-0.368042669076214,0.08547920676610046
75,-1.0,0.20000000000000018,0.8,0.054773478582207186,-0.28102815955513377,0.08307257734450234
76,-1.0,0.20000000000000018,1.0,0.0341766319080527,-0.20286151026794652,0.07003903247224286
77,-1.0,0.40000000000000013,-1.0,0.06755380504791328,-0.1968655695065059,-0.1422622779601814
78,-1.0,0.40000000000000013,-0.8,0.10936793799831185,-0.27968551580936535,-0.1701379702656543
79,-1.0,0.40000000000000013,-0.6,0.16005970950087478,-0.37370854048962104,-0.17612596183159712
80,-1.0,0.40000000000000013,-0.3999999999999999,0.21032518289830746,-0.4631691465746458,-0.14792416031051958
81,-1.0,0.40000000000000013,-0.19999999999999996,0.24762455849720183,-0.5280324030624685,-0.0848068431161984
82,-1.0,0.40000000000000013,0.0,0.2614096582764085,-0.5517634682973188,-0.0
83,-1.0,0.40000000000000013,0.20000000000000018,0.24762455849720183,-0.5280324030624685,0.08480684311619853
84,-1.0,0.40000000000000013,0.40000000000000013,0.21032518289830743,-0.46316914657464575,0.14792416031051964
85,-1.0,0.40000000000000013,0.6000000000000001,0.16005970950087475,-0.373708540489621,0.17612596183159712
86,-1.0,0.40000000000000013,0.8,0.10936793799831185,-0.27968551580936535,0.1701379702656543
87,-1.0,0.40000000000000013,1.0,0.06755380504791328,-0.1968655695065059,0.1422622779601814
88,-1.0,0.6000000000000001,-1.0,0.0993320606513897,-0.18687233490410493,-0.21885394947951142
89,-1.0,0.6000000000000001,-0.8,0.1636043590822116,-0.2774477762330847,-0.2651889943401057
90,-1.0,0.6000000000000001,-0.6,0.24197818805578108,-0.38315165951196595,-0.2771078134958863
91,-1.0,0.6000000000000001,-0.3999999999999999,0.31996233225254134,-0.48554193610004676,-0.23411754418233965
92,-1.0,0.6000000000000001,-0.19999999999999996,0.37793890868726954,-0.5605427577698027,-0.1346397565917194
93,-1.0,0.6000000000000001,0.0,0.39938310722844855,-0.5881065673664982,-0.0
94,-1.0,0.6000000000000001,0.20000000000000018,0.37793890868726954,-0.5605427577698027,0.1346397565917196
