n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.4[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.4[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.4[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.100000E+00   0.737762E-04   0.660316E+00   0.657293E+00   0.155256E+01   0.155708E+01   0.517891E+02   0.899853E+02   0.576389E-04      0.499320E+01        0.709636E+01        0.771343E+01        0.500289E+01        0.694746E+01        0.753521E+01        0.908607E-01        0.125575E+00        0.136051E+00     0.675618E-02   0.171641E+01  -0.139748E-01  -0.295462E+01   0.146533E-01  -0.609001E+00   0.101430E-01   0.511824E-02   0.166812E-01   0.506167E-02  -0.139948E-01      0.898598E+04     0.000000E+00    0.500100E+04
   1  prmtr  0.000000E+00   0.100000E+00   0.737762E-04   0.660316E+00   0.657293E+00   0.155256E+01   0.155708E+01   0.517891E+02   0.899853E+02   0.576389E-04      0.499320E+01        0.709636E+01        0.771343E+01        0.500289E+01        0.694746E+01        0.753521E+01        0.908607E-01        0.125575E+00        0.136051E+00     0.675618E-02   0.171641E+01  -0.139748E-01  -0.295462E+01   0.146533E-01  -0.609001E+00   0.101430E-01   0.511824E-02   0.166812E-01   0.506167E-02  -0.139948E-01      0.898598E+04     0.000000E+00    0.500100E+04
   1  dtl    0.300000E+00   0.100744E+00  -0.920696E-01   0.158085E+01   0.159049E+01   0.357459E+01   0.364369E+01   0.104779E+02   0.273519E+02   0.285504E-01      0.144928E+02        0.215894E+02        0.249877E+02        0.150557E+02        0.209616E+02        0.227844E+02        0.574350E+01        0.153137E+02        0.201496E+02    -0.113250E+00   0.868917E+01   0.345826E-03   0.268681E+02   0.147145E-01   0.172447E+01   0.568413E+00   0.101492E-01   0.608932E+00   0.988929E-02  -0.124746E+01      0.586754E+01     0.000000E+00    0.500100E+04
   2  dtl    0.300000E+00   0.100744E+00  -0.920696E-01   0.158085E+01   0.159049E+01   0.357459E+01   0.364369E+01   0.104779E+02   0.273519E+02   0.285504E-01      0.144928E+02        0.215894E+02        0.249877E+02        0.150557E+02        0.209616E+02        0.227844E+02        0.574350E+01        0.153137E+02        0.201496E+02    -0.113250E+00   0.868917E+01   0.345826E-03   0.268681E+02   0.147145E-01   0.172447E+01   0.568413E+00   0.101492E-01   0.608932E+00   0.988929E-02  -0.124746E+01      0.586754E+01     0.000000E+00    0.500100E+04
   1  dtl    0.600000E+00   0.104003E+00   0.773332E+00   0.178286E+01   0.179083E+01   0.448083E+01   0.446950E+01   0.350705E+02   0.899072E+02   0.287407E-01      0.205500E+02        0.418007E+02        0.497036E+02        0.203380E+02        0.388515E+02        0.522197E+02        0.312715E+02        0.535728E+02        0.681588E+02    -0.740607E-01  -0.538548E+01   0.182754E-01   0.276763E+02   0.148863E-01   0.230254E+02   0.865285E-01   0.921020E-02   0.118797E+00   0.938958E-02  -0.159476E+00      0.123566E+02     0.000000E+00    0.500100E+04
   3  dtl    0.600000E+00   0.104003E+00   0.773332E+00   0.178286E+01   0.179083E+01   0.448083E+01   0.446950E+01   0.350705E+02   0.899072E+02   0.287407E-01      0.205500E+02        0.418007E+02        0.497036E+02        0.203380E+02        0.388515E+02        0.522197E+02        0.312715E+02        0.535728E+02        0.681588E+02    -0.740607E-01  -0.538548E+01   0.182754E-01   0.276763E+02   0.148863E-01   0.230254E+02   0.865285E-01   0.921020E-02   0.118797E+00   0.938958E-02  -0.159476E+00      0.123566E+02     0.000000E+00    0.500100E+04
   1  dtl    0.900000E+00   0.106107E+00   0.245717E+00   0.147853E+01   0.146815E+01   0.446223E+01   0.434007E+01   0.355813E+02   0.899267E+02   0.289357E-01      0.140285E+02        0.445890E+02        0.754467E+02        0.138952E+02        0.422300E+02        0.726850E+02        0.331358E+02        0.513683E+02        0.672361E+02    -0.171268E+00  -0.861824E+01  -0.153075E-02   0.434576E+02   0.150757E-01   0.319163E+02  -0.235910E+00   0.939697E-02  -0.241345E+00   0.935437E-02   0.480997E-01      0.123109E+02     0.000000E+00    0.500100E+04
   4  dtl    0.900000E+00   0.106107E+00   0.245717E+00   0.147853E+01   0.146815E+01   0.446223E+01   0.434007E+01   0.355813E+02   0.899267E+02   0.289357E-01      0.140285E+02        0.445890E+02        0.754467E+02        0.138952E+02        0.422300E+02        0.726850E+02        0.331358E+02        0.513683E+02        0.672361E+02    -0.171268E+00  -0.861824E+01  -0.153075E-02   0.434576E+02   0.150757E-01   0.319163E+02  -0.235910E+00   0.939697E-02  -0.241345E+00   0.935437E-02   0.480997E-01      0.123109E+02     0.000000E+00    0.500100E+04
   1  dtl    0.120000E+01   0.109789E+00   0.102613E+01   0.102444E+01   0.104521E+01   0.518597E+01   0.538833E+01   0.529851E+02   0.899859E+02   0.283234E-01      0.815691E+01        0.750715E+02        0.118596E+03        0.823214E+01        0.675763E+02        0.942487E+02        0.478619E+02        0.866872E+02        0.110570E+03    -0.152729E+00  -0.300455E+02  -0.103084E+00   0.382459E+02   0.152756E-01   0.267610E+00  -0.204166E-01   0.786145E-02  -0.934705E-01   0.810879E-02   0.275613E+00      0.194047E+02     0.000000E+00    0.500100E+04
   5  dtl    0.120000E+01   0.109789E+00   0.102613E+01   0.102444E+01   0.104521E+01   0.518597E+01   0.538833E+01   0.529851E+02   0.899859E+02   0.283234E-01      0.815691E+01        0.750715E+02        0.118596E+03        0.823214E+01        0.675763E+02        0.942487E+02        0.478619E+02        0.866872E+02        0.110570E+03    -0.152729E+00  -0.300455E+02  -0.103084E+00   0.382459E+02   0.152756E-01   0.267610E+00  -0.204166E-01   0.786145E-02  -0.934705E-01   0.810879E-02   0.275613E+00      0.194047E+02     0.000000E+00    0.500100E+04
   1  dtl    0.150000E+01   0.112316E+00   0.598396E+00   0.124356E+01   0.123101E+01   0.530357E+01   0.524829E+01   0.502693E+02   0.899438E+02   0.270707E-01      0.947564E+01        0.558106E+02        0.783856E+02        0.904221E+01        0.333121E+02        0.175327E+03        0.457995E+02        0.861126E+02        0.994371E+02     0.382302E-01  -0.222680E+02  -0.125206E+00   0.824711E+01   0.154833E-01  -0.121372E+02   0.303955E+00   0.101077E-01   0.320474E+00   0.103794E-01  -0.140732E+00      0.187526E+02     0.000000E+00    0.500100E+04
   6  dtl    0.150000E+01   0.112316E+00   0.598396E+00   0.124356E+01   0.123101E+01   0.530357E+01   0.524829E+01   0.502693E+02   0.899438E+02   0.270707E-01      0.947564E+01        0.558106E+02        0.783856E+02        0.904221E+01        0.333121E+02        0.175327E+03        0.457995E+02        0.861126E+02        0.994371E+02     0.382302E-01  -0.222680E+02  -0.125206E+00   0.824711E+01   0.154833E-01  -0.121372E+02   0.303955E+00   0.101077E-01   0.320474E+00   0.103794E-01  -0.140732E+00      0.187526E+02     0.000000E+00    0.500100E+04
   1  dtl    0.180000E+01   0.114788E+00   0.440975E-01   0.154671E+01   0.150660E+01   0.516368E+01   0.563400E+01   0.424837E+02   0.899199E+02   0.275187E-01      0.146485E+02        0.409492E+02        0.238077E+03        0.144373E+02        0.390005E+02        0.975013E+02        0.406506E+02        0.757712E+02        0.820035E+02     0.956194E-01  -0.382308E+01  -0.305254E-01   0.785178E+01   0.156961E-01  -0.766283E+01   0.515149E-01   0.102536E-01  -0.389549E-01   0.987091E-02  -0.950207E-01      0.155077E+02     0.000000E+00    0.500100E+04
