 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.13740E+04      -0.41741E+00      -0.24808E+00       0.17851E+03       0.95372E+00       0.16567E+03
      0      1       0.82092E+03       0.22200E+00       0.21079E+00      -0.19453E+03      -0.30215E+00       0.11347E+03
      0      1       0.12445E+00      -0.14300E-01      -0.98899E+00      -0.27862E+02      -0.37315E+00       0.17119E+03
      0      1      -0.33172E-01       0.83948E-01       0.27620E+00       0.12990E+02       0.13255E+01      -0.11085E+03
      0      1       0.44421E+00       0.39325E-02      -0.13263E+00      -0.14026E+02       0.26013E+00       0.36133E+02
      0      1       0.30707E+01      -0.46294E-01      -0.43428E+00       0.47585E+02       0.65414E+00       0.28153E+00
      0      1       0.45991E+00      -0.14241E-02      -0.25723E+00       0.42745E+02       0.29451E+00      -0.36631E+02
      0      1      -0.92817E+00      -0.13317E-01      -0.14714E+00      -0.15853E+03      -0.17205E+01       0.46950E+02
      0      1       0.13575E+04      -0.34796E+00       0.61758E+00       0.53855E+03       0.24379E+01       0.38243E+03
      0      1      -0.51995E+00       0.35725E-02       0.10360E+01       0.20357E+01      -0.54780E+00      -0.75216E+02
      0      1      -0.36613E+01      -0.45857E-01       0.95734E+00       0.81974E+02       0.96226E+00      -0.15933E+03
      0      1       0.11943E+04      -0.39052E+00       0.17703E+01       0.39496E+03       0.25984E+00       0.20942E+03
      0      1       0.13352E+04      -0.38389E+00      -0.44766E+00      -0.12386E+03       0.29409E+00       0.89576E+03
      0      1      -0.17995E+01      -0.23834E-01       0.64834E+00       0.83236E+02       0.19370E+01       0.16933E+03
      0      1      -0.13719E+01      -0.35565E-01       0.13275E+00      -0.58635E+02      -0.10376E+01      -0.44401E+02
      0      1       0.18237E+01       0.21933E-01      -0.84283E+00      -0.60333E+02       0.72515E+00       0.34084E+02
      0      1       0.12223E+04      -0.36430E+00       0.11126E+01      -0.32823E+03      -0.83031E+00       0.22498E+03
      0      1       0.11028E+04      -0.40950E+00      -0.31121E+00      -0.17523E+03      -0.13686E+00       0.36482E+03
      0      1      -0.18636E+01       0.10322E-01       0.76705E+00      -0.12978E+02       0.25071E+00      -0.97242E+02
      0      1       0.78821E+00      -0.98711E-02       0.37103E+00      -0.37566E+02       0.28808E+00      -0.77279E+02
      0      1      -0.24560E+01      -0.69250E-01      -0.71952E+00       0.43661E+02       0.12597E+01       0.10787E+03
      0      1      -0.92365E+00       0.32370E-02      -0.38644E+00      -0.60166E+02      -0.12726E+01       0.95840E+01
      0      1       0.46557E+03       0.27297E+00      -0.30207E+01       0.67302E+02       0.23703E+01       0.45297E+03
      0      1      -0.11039E+01       0.39161E-01      -0.32472E+00       0.16967E+03       0.17423E+01       0.12784E+02
      0      1      -0.12901E+01       0.29105E-03      -0.55532E+00      -0.60541E+01      -0.74599E-02      -0.42853E+02
      0      1       0.46363E+03       0.23003E+00      -0.99683E-01       0.35385E+02       0.17638E+01      -0.16923E+03
      0      1      -0.61253E+00      -0.18561E-02      -0.16243E+01      -0.68469E+02      -0.76785E+00       0.13372E+03
      0      1       0.12740E+04      -0.29661E+00       0.55435E+00      -0.59982E+03      -0.11160E+01       0.23912E+03
      0      1       0.24031E+00       0.14177E-01      -0.26180E+00       0.59736E+02       0.10318E+01       0.90816E+02
      0      1      -0.11450E+01       0.71765E-02       0.10282E+01       0.48792E+01      -0.25208E+00      -0.93058E+02
      0      1       0.15599E+04      -0.31848E+00      -0.44735E+01      -0.48422E+03      -0.27748E+01       0.12336E+04
      0      1       0.12342E+01       0.15927E-02      -0.81028E+00      -0.87746E+02      -0.15124E+00       0.12696E+03
      0      1      -0.24332E+01      -0.10870E-01       0.51115E-01      -0.35315E+03      -0.41149E+01      -0.37948E+02
      0      1       0.28057E+02       0.43820E-01      -0.18771E+01      -0.60124E+02       0.67837E+00       0.99062E+02
      0      1       0.15010E+04      -0.41816E+00       0.15919E+00       0.17592E+03       0.89437E+00      -0.11923E+03
      0      1       0.17813E+01       0.65695E-01      -0.78088E+00      -0.20852E+03      -0.81791E+00       0.48147E+02
