n_el  name      Q     A   Loss   Xfirst,cm   Yfirst,cm   Zfirst,cm    VXfirst     VYfirst     VZfirst     Xdev,cm     Ydev,cm     Zdev,cm     VXdev       VYdev       VZdev       Xc ,cm       Yc ,cm     Zc ,cm       O(11)       O(12)       O(13)       O(21)       O(22)       O(23)       O(31)       O(32)       O(33)   
   9  dtl     1.0   2.0    -4       0.887      -8.484     223.800  -0.0023298  -0.0025709   0.0010325       0.887      -8.484      13.800  -0.0023298  -0.0025709   0.0010325       0.000       0.000     210.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
   9  dtl     1.0   2.0    -4      -0.355      -5.673     224.400   0.0015897   0.0101571   0.0000677      -0.355      -5.673      14.400   0.0015897   0.0101571   0.0000677       0.000       0.000     210.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  10  dtl     1.0   2.0    -4       3.401      -3.625     253.200   0.0076996   0.0031281   0.0019316       3.401      -3.625      13.200   0.0076996   0.0031281   0.0019316       0.000       0.000     240.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  10  dtl     1.0   2.0    -4      -5.357       8.374     256.200   0.0353456  -0.0134270   0.0001359      -5.357       8.374      16.200   0.0353456  -0.0134270   0.0001359       0.000       0.000     240.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  10  dtl     1.0   2.0    -4      -4.990     -13.228     265.800  -0.0114918  -0.0248884   0.0173565      -4.990     -13.228      25.800  -0.0114918  -0.0248884   0.0173565       0.000       0.000     240.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  dtl     1.0   2.0    -4      -1.480      -3.512     285.600   0.0103843  -0.0000831   0.0000361      -1.480      -3.512      15.600   0.0103843  -0.0000831   0.0000361       0.000       0.000     270.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  dtl     1.0   2.0    -4       6.266       2.579     285.600   0.0078210  -0.0093151   0.0022308       6.266       2.579      15.600   0.0078210  -0.0093151   0.0022308       0.000       0.000     270.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  11  dtl     1.0   2.0    -4       8.767      -0.119     287.400   0.0208484   0.0130427   0.0000020       8.767      -0.119      17.400   0.0208484   0.0130427   0.0000020       0.000       0.000     270.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -8.870       6.344     305.400   0.0080381   0.0178086   0.0058721      -8.870       6.344       5.400   0.0080381   0.0178086   0.0058721       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      10.654       4.998     313.200   0.0397124   0.0007217   0.0162596      10.654       4.998      13.200   0.0397124   0.0007217   0.0162596       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -9.068       7.380     315.000   0.0107525  -0.0282319  -0.0000002      -9.068       7.380      15.000   0.0107525  -0.0282319  -0.0000002       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4       6.389       7.595     315.600   0.0081945  -0.0066351   0.0074053       6.389       7.595      15.600   0.0081945  -0.0066351   0.0074053       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -0.032      13.889     321.000   0.0222478   0.0432212   0.0117250      -0.032      13.889      21.000   0.0222478   0.0432212   0.0117250       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -5.007     -10.894     322.200  -0.0258810  -0.0037758   0.0136139      -5.007     -10.894      22.200  -0.0258810  -0.0037758   0.0136139       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -7.725      -7.387     322.200  -0.0162604   0.0078226   0.0194408      -7.725      -7.387      22.200  -0.0162604   0.0078226   0.0194408       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -5.496     -11.815     322.800   0.0354488   0.0017021   0.0079759      -5.496     -11.815      22.800   0.0354488   0.0017021   0.0079759       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      13.966       0.125     324.000   0.0278457  -0.0288488   0.0187082      13.966       0.125      24.000   0.0278457  -0.0288488   0.0187082       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4      -6.574      -9.975     326.400  -0.0232359   0.0093607   0.0001751      -6.574      -9.975      26.400  -0.0232359   0.0093607   0.0001751       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4       5.440      13.875     327.000   0.0336146   0.0048801   0.0109044       5.440      13.875      27.000   0.0336146   0.0048801   0.0109044       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  12  dtl     1.0   2.0    -4     -11.873       6.007     327.000   0.0222546   0.0194437   0.0056831     -11.873       6.007      27.000   0.0222546   0.0194437   0.0056831       0.000       0.000     300.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4      -1.611      11.425     346.200   0.0171001  -0.0066401   0.0066021      -1.611      11.425      16.200   0.0171001  -0.0066401   0.0066021       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4       3.493       4.436     346.800  -0.0081497   0.0033132   0.0007545       3.493       4.436      16.800  -0.0081497   0.0033132   0.0007545       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4      -7.882       5.502     346.800   0.0114887   0.0113323   0.0020041      -7.882       5.502      16.800   0.0114887   0.0113323   0.0020041       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
  13  dtl     1.0   2.0    -4      -2.072     -11.602     351.600   0.7590704  -0.3121041  -0.0000000      -2.072     -11.602      21.600   0.7590704  -0.3121041  -0.0000000       0.000       0.000     330.000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   1.0000000
