 n_el    name     Phi_in(deg)    Phi_out(deg)   W_in(MeV/u)    W_out(MeV/u)
    1    prmtr    0.00000E+00    0.00000E+00    0.10000E+03    0.10000E+03
    2    dtl      0.18110E+03    0.90479E+03    0.10000E+03    0.10084E+03
    3    dtl      0.19020E+03    0.89777E+03    0.10084E+03    0.10320E+03
    4    dtl      0.19600E+03    0.88671E+03    0.10320E+03    0.10585E+03
    5    dtl      0.20180E+03    0.87503E+03    0.10585E+03    0.10867E+03
    6    dtl      0.20760E+03    0.86315E+03    0.10867E+03    0.11165E+03
    7    dtl      0.21330E+03    0.85130E+03    0.11165E+03    0.11474E+03
    8    dtl      0.21900E+03    0.83959E+03    0.11474E+03    0.11796E+03
    9    dtl      0.22470E+03    0.82798E+03    0.11796E+03    0.12132E+03
   10    dtl      0.23030E+03    0.81650E+03    0.12132E+03    0.12483E+03
   11    dtl      0.23590E+03    0.80514E+03    0.12483E+03    0.12850E+03
   12    dtl      0.24150E+03    0.79386E+03    0.12850E+03    0.13236E+03
   13    dtl      0.24700E+03    0.78267E+03    0.13236E+03    0.13641E+03
   14    dtl      0.25250E+03    0.77156E+03    0.13641E+03    0.14067E+03
   15    dtl      0.25790E+03    0.76054E+03    0.14067E+03    0.14513E+03
   16    dtl      0.26340E+03    0.74954E+03    0.14513E+03    0.14988E+03
   17    dtl      0.26880E+03    0.73856E+03    0.14988E+03    0.15488E+03
   18    dtl      0.27420E+03    0.72760E+03    0.15488E+03    0.16017E+03
   19    dtl      0.27950E+03    0.71670E+03    0.16017E+03    0.16572E+03
   20    dtl      0.28480E+03    0.70586E+03    0.16572E+03    0.17158E+03
   21    dtl      0.29010E+03    0.69503E+03    0.17158E+03    0.17778E+03
   22    dtl      0.29540E+03    0.68420E+03    0.17778E+03    0.18434E+03
   23    dtl      0.30060E+03    0.67340E+03    0.18434E+03    0.19122E+03
   24    dtl      0.30580E+03    0.66268E+03    0.19122E+03    0.19846E+03
   25    dtl      0.31100E+03    0.65198E+03    0.19846E+03    0.20610E+03
   26    dtl      0.31620E+03    0.64129E+03    0.20610E+03    0.21415E+03
   27    dtl      0.31820E+03    0.63243E+03    0.21415E+03    0.21964E+03
   28    dtl      0.32010E+03    0.62629E+03    0.21964E+03    0.22381E+03
   29    dtl      0.32200E+03    0.62146E+03    0.22381E+03    0.22741E+03
   30    dtl      0.32390E+03    0.61720E+03    0.22741E+03    0.23080E+03
   31    dtl      0.32570E+03    0.61326E+03    0.23080E+03    0.23402E+03
   32    dtl      0.32750E+03    0.60950E+03    0.23402E+03    0.23719E+03
   33    dtl      0.32940E+03    0.60577E+03    0.23719E+03    0.24049E+03
   34    dtl      0.33110E+03    0.60211E+03    0.24049E+03    0.24366E+03
   35    dtl      0.33290E+03    0.59853E+03    0.24366E+03    0.24691E+03
   36    dtl      0.33470E+03    0.59493E+03    0.24691E+03    0.25023E+03
   37    dtl      0.33830E+03    0.59022E+03    0.25023E+03    0.25561E+03
   38    dtl      0.34200E+03    0.58397E+03    0.25561E+03    0.26213E+03
   39    dtl      0.34570E+03    0.57703E+03    0.26213E+03    0.26929E+03
   40    dtl      0.34940E+03    0.56979E+03    0.26929E+03    0.27688E+03
   41    dtl      0.35310E+03    0.56243E+03    0.27688E+03    0.28482E+03
   42    dtl      0.35680E+03    0.55502E+03    0.28482E+03    0.29307E+03
   43    dtl      0.36050E+03    0.54760E+03    0.29307E+03    0.30163E+03
   44    dtl      0.36420E+03    0.54017E+03    0.30163E+03    0.31051E+03
   45    dtl      0.36790E+03    0.53275E+03    0.31051E+03    0.31970E+03
   46    dtl      0.37160E+03    0.52533E+03    0.31970E+03    0.32923E+03
   47    dtl      0.37520E+03    0.51798E+03    0.32923E+03    0.33895E+03
   48    dtl      0.37890E+03    0.51066E+03    0.33895E+03    0.34912E+03
   49    dtl      0.38250E+03    0.50337E+03    0.34912E+03    0.35953E+03
   50    dtl      0.38610E+03    0.49614E+03    0.35953E+03    0.37027E+03
   51    dtl      0.38970E+03    0.48895E+03    0.37027E+03    0.38138E+03
   52    dtl      0.39330E+03    0.48178E+03    0.38138E+03    0.39290E+03
   53    dtl      0.39690E+03    0.47462E+03    0.39290E+03    0.40485E+03
   54    dtl      0.40040E+03    0.46753E+03    0.40485E+03    0.41706E+03
   55    dtl      0.40390E+03    0.46054E+03    0.41706E+03    0.42965E+03
   56    dtl      0.40740E+03    0.45359E+03    0.42965E+03    0.44269E+03
   57    dtl      0.41080E+03    0.44673E+03    0.44269E+03    0.45601E+03
   58    dtl      0.41420E+03    0.43996E+03    0.45601E+03    0.46974E+03
   59    dtl      0.41760E+03    0.43324E+03    0.46974E+03    0.48398E+03
   60    dtl      0.42100E+03    0.42654E+03    0.48398E+03    0.49877E+03
