[ T-Track ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 345
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      345   1.0000E+00 # 345
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   50.00000      # maximum value of e-mesh points
#    edel =  0.5000000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  5.00000E-01  1.00000E+00  1.50000E+00  2.00000E+00
#           2.50000E+00  3.00000E+00  3.50000E+00  4.00000E+00  4.50000E+00
#           5.00000E+00  5.50000E+00  6.00000E+00  6.50000E+00  7.00000E+00
#           7.50000E+00  8.00000E+00  8.50000E+00  9.00000E+00  9.50000E+00
#           1.00000E+01  1.05000E+01  1.10000E+01  1.15000E+01  1.20000E+01
#           1.25000E+01  1.30000E+01  1.35000E+01  1.40000E+01  1.45000E+01
#           1.50000E+01  1.55000E+01  1.60000E+01  1.65000E+01  1.70000E+01
#           1.75000E+01  1.80000E+01  1.85000E+01  1.90000E+01  1.95000E+01
#           2.00000E+01  2.05000E+01  2.10000E+01  2.15000E+01  2.20000E+01
#           2.25000E+01  2.30000E+01  2.35000E+01  2.40000E+01  2.45000E+01
#           2.50000E+01  2.55000E+01  2.60000E+01  2.65000E+01  2.70000E+01
#           2.75000E+01  2.80000E+01  2.85000E+01  2.90000E+01  2.95000E+01
#           3.00000E+01  3.05000E+01  3.10000E+01  3.15000E+01  3.20000E+01
#           3.25000E+01  3.30000E+01  3.35000E+01  3.40000E+01  3.45000E+01
#           3.50000E+01  3.55000E+01  3.60000E+01  3.65000E+01  3.70000E+01
#           3.75000E+01  3.80000E+01  3.85000E+01  3.90000E+01  3.95000E+01
#           4.00000E+01  4.05000E+01  4.10000E+01  4.15000E+01  4.20000E+01
#           4.25000E+01  4.30000E+01  4.35000E+01  4.40000E+01  4.45000E+01
#           4.50000E+01  4.55000E+01  4.60000E+01  4.65000E+01  4.70000E+01
#           4.75000E+01  4.80000E+01  4.85000E+01  4.90000E+01  4.95000E+01
#           5.00000E+01
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = out/fluence_energy.dat  # file name of output for the above axis
     part =  photon   
# kf/name :  22       
    x-txt = energy [MeV]
    y-txt = track length [photons m/MeV/s]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         109 (  0)           0 (  0)         109 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    345

x: energy [MeV]
y: track length [photons m/MeV/s]
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(photon  ),hh0l   n 
#  e-lower      e-upper      photon      r.err 
   0.0000E+00   5.0000E-01   7.3857E+13  0.0001
   5.0000E-01   1.0000E+00   5.6163E+13  0.0001
   1.0000E+00   1.5000E+00   3.0709E+13  0.0001
   1.5000E+00   2.0000E+00   2.1233E+13  0.0001
   2.0000E+00   2.5000E+00   1.5942E+13  0.0001
   2.5000E+00   3.0000E+00   1.2604E+13  0.0001
   3.0000E+00   3.5000E+00   1.0315E+13  0.0001
   3.5000E+00   4.0000E+00   8.6603E+12  0.0001
   4.0000E+00   4.5000E+00   7.4097E+12  0.0001
   4.5000E+00   5.0000E+00   6.4336E+12  0.0001
   5.0000E+00   5.5000E+00   5.6550E+12  0.0001
   5.5000E+00   6.0000E+00   5.0171E+12  0.0002
   6.0000E+00   6.5000E+00   4.4892E+12  0.0002
   6.5000E+00   7.0000E+00   4.0439E+12  0.0002
   7.0000E+00   7.5000E+00   3.6660E+12  0.0002
   7.5000E+00   8.0000E+00   3.3405E+12  0.0002
   8.0000E+00   8.5000E+00   3.0578E+12  0.0002
   8.5000E+00   9.0000E+00   2.8103E+12  0.0002
   9.0000E+00   9.5000E+00   2.5922E+12  0.0002
   9.5000E+00   1.0000E+01   2.4002E+12  0.0002
   1.0000E+01   1.0500E+01   2.2267E+12  0.0002
   1.0500E+01   1.1000E+01   2.0708E+12  0.0002
   1.1000E+01   1.1500E+01   1.9306E+12  0.0002
   1.1500E+01   1.2000E+01   1.8049E+12  0.0003
   1.2000E+01   1.2500E+01   1.6909E+12  0.0003
   1.2500E+01   1.3000E+01   1.5856E+12  0.0003
   1.3000E+01   1.3500E+01   1.4912E+12  0.0003
   1.3500E+01   1.4000E+01   1.4031E+12  0.0003
   1.4000E+01   1.4500E+01   1.3225E+12  0.0003
   1.4500E+01   1.5000E+01   1.2492E+12  0.0003
   1.5000E+01   1.5500E+01   1.1796E+12  0.0003
   1.5500E+01   1.6000E+01   1.1162E+12  0.0003
   1.6000E+01   1.6500E+01   1.0571E+12  0.0003
   1.6500E+01   1.7000E+01   1.0019E+12  0.0003
   1.7000E+01   1.7500E+01   9.5014E+11  0.0004
   1.7500E+01   1.8000E+01   9.0142E+11  0.0004
   1.8000E+01   1.8500E+01   8.5682E+11  0.0004
   1.8500E+01   1.9000E+01   8.1417E+11  0.0004
   1.9000E+01   1.9500E+01   7.7366E+11  0.0004
   1.9500E+01   2.0000E+01   7.3601E+11  0.0004
   2.0000E+01   2.0500E+01   7.0016E+11  0.0004
   2.0500E+01   2.1000E+01   6.6640E+11  0.0004
   2.1000E+01   2.1500E+01   6.3481E+11  0.0004
   2.1500E+01   2.2000E+01   6.0386E+11  0.0004
   2.2000E+01   2.2500E+01   5.7529E+11  0.0005
   2.2500E+01   2.3000E+01   5.4761E+11  0.0005
   2.3000E+01   2.3500E+01   5.2049E+11  0.0005
   2.3500E+01   2.4000E+01   4.9609E+11  0.0005
   2.4000E+01   2.4500E+01   4.7175E+11  0.0005
   2.4500E+01   2.5000E+01   4.4833E+11  0.0005
   2.5000E+01   2.5500E+01   4.2630E+11  0.0005
   2.5500E+01   2.6000E+01   4.0523E+11  0.0005
   2.6000E+01   2.6500E+01   3.8442E+11  0.0006
   2.6500E+01   2.7000E+01   3.6451E+11  0.0006
   2.7000E+01   2.7500E+01   3.4527E+11  0.0006
   2.7500E+01   2.8000E+01   3.2688E+11  0.0006
   2.8000E+01   2.8500E+01   3.0894E+11  0.0006
   2.8500E+01   2.9000E+01   2.9086E+11  0.0006
   2.9000E+01   2.9500E+01   2.7363E+11  0.0007
   2.9500E+01   3.0000E+01   2.5694E+11  0.0007
   3.0000E+01   3.0500E+01   2.4077E+11  0.0007
   3.0500E+01   3.1000E+01   2.2471E+11  0.0007
   3.1000E+01   3.1500E+01   2.0927E+11  0.0008
   3.1500E+01   3.2000E+01   1.9403E+11  0.0008
   3.2000E+01   3.2500E+01   1.7962E+11  0.0008
   3.2500E+01   3.3000E+01   1.6511E+11  0.0008
   3.3000E+01   3.3500E+01   1.5073E+11  0.0009
   3.3500E+01   3.4000E+01   1.3703E+11  0.0009
   3.4000E+01   3.4500E+01   1.2383E+11  0.0010
   3.4500E+01   3.5000E+01   1.1040E+11  0.0010
   3.5000E+01   3.5500E+01   9.7160E+10  0.0011
   3.5500E+01   3.6000E+01   8.4335E+10  0.0012
   3.6000E+01   3.6500E+01   7.1331E+10  0.0013
   3.6500E+01   3.7000E+01   5.8763E+10  0.0014
   3.7000E+01   3.7500E+01   4.6369E+10  0.0016
   3.7500E+01   3.8000E+01   3.3954E+10  0.0019
   3.8000E+01   3.8500E+01   2.1884E+10  0.0023
   3.8500E+01   3.9000E+01   1.1582E+10  0.0032
   3.9000E+01   3.9500E+01   4.8359E+09  0.0049
   3.9500E+01   4.0000E+01   1.0296E+09  0.0107
   4.0000E+01   4.0500E+01   0.0000E+00  0.0000
   4.0500E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.1500E+01   0.0000E+00  0.0000
   4.1500E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.2500E+01   0.0000E+00  0.0000
   4.2500E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.3500E+01   0.0000E+00  0.0000
   4.3500E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.4500E+01   0.0000E+00  0.0000
   4.4500E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 3.1778E+12

'no. =  1,  reg  =    345'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.21}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.76220000089465382E-06 # Total source weight or Total source weight / maxcas
# resc3  = 1.10000000000000000E+09 # Total history number or Total batch number
# maxcas =      200000 # History / Batch, only used for istdev=1
# rijklst=  -8.6368363221060557E-156 # Next initial random number
# bitrseed = 1001111110111101101001010010001100011010100000010110001000100010
