# Production of Au-196 gs+m1 (total)
# E_in [eV]   sigma[barns]
 1.00000000e+06  0.00000000e+00
 1.50000000e+06  0.00000000e+00
 2.00000000e+06  0.00000000e+00
 2.50000000e+06  0.00000000e+00
 3.00000000e+06  0.00000000e+00
 3.50000000e+06  0.00000000e+00
 4.00000000e+06  0.00000000e+00
 4.50000000e+06  0.00000000e+00
 5.00000000e+06  0.00000000e+00
 5.25000000e+06  0.00000000e+00
 5.50000000e+06  0.00000000e+00
 5.75000000e+06  0.00000000e+00
 6.00000000e+06  0.00000000e+00
 6.50000000e+06  0.00000000e+00
 7.00000000e+06  0.00000000e+00
 7.50000000e+06  0.00000000e+00
 8.00000000e+06  0.00000000e+00
 8.50000000e+06  0.00000000e+00
 8.50000000e+06  3.26975115e-02
 9.00000000e+06  4.42325180e-02
 9.50000000e+06  5.60263210e-02
 1.00000000e+07  7.39130230e-02
 1.05000000e+07  1.03239290e-01
 1.10000000e+07  1.50835710e-01
 1.15000000e+07  2.26449000e-01
 1.20000000e+07  3.29038210e-01
 1.25000000e+07  4.22669110e-01
 1.30000000e+07  4.93144800e-01
 1.35000000e+07  5.62258400e-01
 1.40000000e+07  5.96093400e-01
 1.45000000e+07  5.54207900e-01
 1.50000000e+07  4.49698800e-01
 1.55000000e+07  2.95095580e-01
 1.60000000e+07  1.77955610e-01
 1.65000000e+07  1.07163440e-01
 1.70000000e+07  6.75569000e-02
 1.75000000e+07  4.52049300e-02
 1.80000000e+07  3.19278000e-02
 1.85000000e+07  2.40917500e-02
 1.90000000e+07  1.86665440e-02
 1.95000000e+07  1.49318370e-02
 2.00000000e+07  1.21153650e-02
 2.10000000e+07  8.32640500e-03
 2.20000000e+07  6.10472200e-03
 2.30000000e+07  4.75969900e-03
 2.40000000e+07  3.87835500e-03
 2.50000000e+07  3.29238900e-03
 2.60000000e+07  2.88109600e-03
 2.70000000e+07  2.52337440e-03
 2.80000000e+07  2.24387710e-03
 2.90000000e+07  1.99673540e-03
 3.00000000e+07  1.77673260e-03
 3.20000000e+07  1.41102250e-03
 3.40000000e+07  1.13195950e-03
 3.60000000e+07  9.24695900e-04
 3.80000000e+07  7.80597500e-04
 4.00000000e+07  6.62046800e-04
 4.20000000e+07  5.69152200e-04
 4.40000000e+07  4.95726200e-04
 4.60000000e+07  4.42797100e-04
 4.80000000e+07  3.89855200e-04
 5.00000000e+07  3.50982700e-04
 5.20000000e+07  3.21560500e-04
 5.40000000e+07  2.91389300e-04
 5.60000000e+07  2.66657760e-04
 5.80000000e+07  2.47622770e-04
 6.00000000e+07  2.24479990e-04
 6.20000000e+07  2.10925440e-04
 6.40000000e+07  1.97105000e-04
 6.60000000e+07  1.85459460e-04
 6.80000000e+07  1.70318870e-04
 7.00000000e+07  1.58370580e-04
 7.20000000e+07  1.48417800e-04
 7.40000000e+07  1.41590160e-04
 7.60000000e+07  1.34310250e-04
 7.80000000e+07  1.25242770e-04
 8.00000000e+07  1.16539140e-04
 8.50000000e+07  9.95334900e-05
 9.00000000e+07  8.84940600e-05
 9.50000000e+07  7.48172300e-05
 1.00000000e+08  6.58762000e-05
 1.10000000e+08  5.05643600e-05
 1.20000000e+08  3.77054100e-05
 1.30000000e+08  2.90126200e-05
 1.40000000e+08  2.31749380e-05
 1.50000000e+08  1.82125560e-05
 1.60000000e+08  1.44053120e-05
 1.70000000e+08  1.14948780e-05
 1.80000000e+08  9.08292400e-06
 1.90000000e+08  7.09450600e-06
 2.00000000e+08  6.41357400e-06
