al ah    el           eh      n[count/sr/MeV] r.err.
0 10    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
0 10    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
0 10    1.0000E-08   1.0000E-07   2.6135E+14  0.7071
0 10    1.0000E-07   1.0000E-06   1.5292E+13  0.8304
0 10    1.0000E-06   1.0000E-05   1.0193E+13  0.3464
0 10    1.0000E-05   1.0000E-04   3.0128E+12  0.1961
0 10    1.0000E-04   1.0000E-03   1.0062E+12  0.1099
0 10    1.0000E-03   1.0000E-02   2.8669E+11  0.0664
0 10    1.0000E-02   1.0000E-01   1.0028E+11  0.0360
0 10    1.0000E-01   1.0000E+00   5.7309E+10  0.0152
0 10    1.0000E+00   1.0000E+01   3.6063E+09  0.0191
0 10    1.0000E+01   1.0000E+02   9.2476E+05  0.3780
10 20    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
10 20    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
10 20    1.0000E-08   1.0000E-07   6.2671E+13  0.6872
10 20    1.0000E-07   1.0000E-06   3.7657E+13  0.3360
10 20    1.0000E-06   1.0000E-05   1.2375E+13  0.1777
10 20    1.0000E-05   1.0000E-04   2.3970E+12  0.1292
10 20    1.0000E-04   1.0000E-03   9.7521E+11  0.0647
10 20    1.0000E-03   1.0000E-02   2.8947E+11  0.0383
10 20    1.0000E-02   1.0000E-01   9.9160E+10  0.0210
10 20    1.0000E-01   1.0000E+00   5.8437E+10  0.0087
10 20    1.0000E+00   1.0000E+01   3.4634E+09  0.0113
10 20    1.0000E+01   1.0000E+02   1.0232E+06  0.2085
20 30    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
20 30    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
20 30    1.0000E-08   1.0000E-07   8.7589E+13  0.5218
20 30    1.0000E-07   1.0000E-06   3.1059E+13  0.2730
20 30    1.0000E-06   1.0000E-05   1.0377E+13  0.1521
20 30    1.0000E-05   1.0000E-04   2.8208E+12  0.0927
20 30    1.0000E-04   1.0000E-03   9.2892E+11  0.0517
20 30    1.0000E-03   1.0000E-02   2.9014E+11  0.0300
20 30    1.0000E-02   1.0000E-01   9.9580E+10  0.0164
20 30    1.0000E-01   1.0000E+00   5.7633E+10  0.0069
20 30    1.0000E+00   1.0000E+01   3.5529E+09  0.0088
20 30    1.0000E+01   1.0000E+02   1.0353E+06  0.1622
30 40    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
30 40    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
30 40    1.0000E-08   1.0000E-07   1.0393E+14  0.3869
30 40    1.0000E-07   1.0000E-06   3.0667E+13  0.2321
30 40    1.0000E-06   1.0000E-05   8.8197E+12  0.1434
30 40    1.0000E-05   1.0000E-04   2.2895E+12  0.0887
30 40    1.0000E-04   1.0000E-03   7.7550E+11  0.0486
30 40    1.0000E-03   1.0000E-02   2.7555E+11  0.0264
30 40    1.0000E-02   1.0000E-01   9.5986E+10  0.0144
30 40    1.0000E-01   1.0000E+00   5.8170E+10  0.0059
30 40    1.0000E+00   1.0000E+01   3.5256E+09  0.0076
40 50    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
40 50    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
40 50    1.0000E-08   1.0000E-07   7.9674E+13  0.4254
40 50    1.0000E-07   1.0000E-06   2.5015E+13  0.2391
40 50    1.0000E-06   1.0000E-05   5.3578E+12  0.1598
40 50    1.0000E-05   1.0000E-04   2.1509E+12  0.0825
40 50    1.0000E-04   1.0000E-03   7.0165E+11  0.0461
40 50    1.0000E-03   1.0000E-02   2.3873E+11  0.0255
40 50    1.0000E-02   1.0000E-01   8.8929E+10  0.0135
40 50    1.0000E-01   1.0000E+00   5.6937E+10  0.0054
40 50    1.0000E+00   1.0000E+01   3.4391E+09  0.0069
40 50    1.0000E+01   1.0000E+02   9.1182E+05  0.1336
50 60    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
50 60    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
50 60    1.0000E-08   1.0000E-07   3.2398E+13  0.5970
50 60    1.0000E-07   1.0000E-06   2.5834E+13  0.2107
50 60    1.0000E-06   1.0000E-05   6.7396E+12  0.1352
50 60    1.0000E-05   1.0000E-04   2.1126E+12  0.0774
50 60    1.0000E-04   1.0000E-03   6.2395E+11  0.0454
50 60    1.0000E-03   1.0000E-02   2.0803E+11  0.0254
50 60    1.0000E-02   1.0000E-01   7.9844E+10  0.0132
50 60    1.0000E-01   1.0000E+00   5.4729E+10  0.0051
50 60    1.0000E+00   1.0000E+01   3.3580E+09  0.0065
50 60    1.0000E+01   1.0000E+02   1.0933E+06  0.1132
60 70    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
60 70    1.0000E-09   1.0000E-08   1.2465E+14  1.0000
60 70    1.0000E-08   1.0000E-07   1.8179E+13  0.6754
60 70    1.0000E-07   1.0000E-06   9.2169E+12  0.3220
60 70    1.0000E-06   1.0000E-05   4.0452E+12  0.1622
60 70    1.0000E-05   1.0000E-04   1.4873E+12  0.0868
60 70    1.0000E-04   1.0000E-03   5.1914E+11  0.0476
60 70    1.0000E-03   1.0000E-02   1.6013E+11  0.0276
60 70    1.0000E-02   1.0000E-01   6.5056E+10  0.0139
60 70    1.0000E-01   1.0000E+00   4.9266E+10  0.0051
60 70    1.0000E+00   1.0000E+01   3.1904E+09  0.0063
60 70    1.0000E+01   1.0000E+02   1.0380E+06  0.1104
70 80    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
70 80    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
70 80    1.0000E-08   1.0000E-07   3.3338E+13  0.5781
70 80    1.0000E-07   1.0000E-06   1.1256E+13  0.2990
70 80    1.0000E-06   1.0000E-05   3.1791E+12  0.1822
70 80    1.0000E-05   1.0000E-04   9.6680E+11  0.1072
70 80    1.0000E-04   1.0000E-03   3.0779E+11  0.0598
70 80    1.0000E-03   1.0000E-02   9.9951E+10  0.0337
70 80    1.0000E-02   1.0000E-01   4.1282E+10  0.0169
70 80    1.0000E-01   1.0000E+00   3.6880E+10  0.0057
70 80    1.0000E+00   1.0000E+01   2.6626E+09  0.0067
70 80    1.0000E+01   1.0000E+02   1.0095E+06  0.1085
80 90    1.0000E-10   1.0000E-09   0.0000E+00  0.0000
80 90    1.0000E-09   1.0000E-08   0.0000E+00  0.0000
80 90    1.0000E-08   1.0000E-07   0.0000E+00  0.0000
80 90    1.0000E-07   1.0000E-06   4.3966E+12  0.5005
80 90    1.0000E-06   1.0000E-05   4.2474E+11  0.4795
80 90    1.0000E-05   1.0000E-04   1.9893E+11  0.2287
80 90    1.0000E-04   1.0000E-03   5.8171E+10  0.1366
80 90    1.0000E-03   1.0000E-02   2.6341E+10  0.0650
80 90    1.0000E-02   1.0000E-01   1.0711E+10  0.0327
80 90    1.0000E-01   1.0000E+00   1.0220E+10  0.0107
80 90    1.0000E+00   1.0000E+01   8.8434E+08  0.0114
80 90    1.0000E+01   1.0000E+02   2.9919E+05  0.1962
